Id,Label
Petru-Bastril,Petru Bastril
Simona-Enache,Simona Enache
Pypar,Pypar
Qotho,Qotho
Quaro,Quaro
Randyll-Tarly,Randyll Tarly
Rast,Rast
Raymun-Darry,Raymun Darry
Horia-Avram,Horia Avram
Alexandru-Ene,Alexandru Ene
Rickard-Karstark,Rickard Karstark
Mihnea-Dinu,Mihnea Dinu
Luiza-Dinu,Luiza Dinu
Robert-Arin,Robert Arin
Robert-Antonescu,Robert Antonescu
Rodrik-Cassel,Rodrik Cassel
Roose-Bolton,Roose Bolton
Sebastian-Clara,Sebastian Clara
Sorina-Sicoe,Sorina Sicoe
Shae,Shae
Shagga,Shagga
Stan-Serv,Stan Serv
Stevron-Frey,Stevron Frey
Ila-Vera,Ila Vera
Timett,Timett
Tomas-Barat,Tomas Barat
Traian-Lascu,Traian Lascu
Timon-Lascu,Timon Lascu
Waymar-Royce,Waymar Royce
Clydas,Clydas
Samuel-Tudose,Samuel Tudose
Rakharo,Rakharo
Tomard,Tomard
Syrio-Forel,Syrio Forel
Vayon-Poole,Vayon Poole
Yoren,Yoren
Viorel-Ivan,Viorel Ivan
Mance-Rayder,Mance Rayder
Thoros-of-Myr,Thoros of Myr
Hali,Hali
Rickard-Stark,Rickard Stark
Stiv,Stiv
Vardis-Egen,Vardis Egen
Willis-Wode,Willis Wode
Nestor-Royce,Nestor Royce
Walder-Frey,Walder Frey
Donnel-Waynwood,Donnel Waynwood
Masha-Heddle,Masha Heddle
Moreo-Tumitis,Moreo Tumitis
Mya-Stone,Mya Stone
Mychel-Redfort,Mychel Redfort
Tytos-Blackwood,Tytos Blackwood
Wendel-Manderly,Wendel Manderly
Coratt,Coratt
Eroeh,Eroeh
Cornelia-Traian,Cornelia Traian
Jared-Frey,Jared Frey
Torrhen-Karstark,Torrhen Karstark
Ogo,Ogo
Rhaego,Rhaego
Gendry,Gendry
Howland-Reed,Howland Reed
Jacks,Jacks
Joss,Joss
Porther,Porther
Tobho-Mott,Tobho Mott
Tregar,Tregar
Varly,Varly
Wyl-(guard),Wyl (guard)
Wylla,Wylla
Daria-Zara,Daria Zara
Oswell-Whent,Oswell Whent
Todder,Todder
Matthar,Matthar
Othor,Othor
Paxter-Redwyne,Paxter Redwyne
Ulf Umar,Ulf Umar
