Source,Target,Type,weight,place
Marius-Cojocaru,Petru-Bastril,Undirected,3,1
Marius-Cojocaru,Horia-Avram,Undirected,3,1
Marius-Cojocaru,Rickard-Karstark,Undirected,4,1
Marius-Cojocaru,Rickard-Stark,Undirected,4,1
Marius-Cojocaru,Mihnea-Dinu,Undirected,32,1
Marius-Cojocaru,Luiza-Dinu,Undirected,112,1
Marius-Cojocaru,Robert-Antonescu,Undirected,11,1
Marius-Cojocaru,Rodrik-Cassel,Undirected,6,1
Marius-Cojocaru,Sorina-Sicoe,Undirected,10,1
Marius-Cojocaru,Stiv,Undirected,4,1
Marius-Cojocaru,Ila-Vera,Undirected,23,1
Marius-Cojocaru,Tomas-Barat,Undirected,5,1
Marius-Cojocaru,Traian-Lascu,Undirected,31,1
Marius-Cojocaru,Yoren,Undirected,3,1
Petru-Dalca,Mihai-Constantin,Undirected,11,1
Petru-Dalca,Liana-Avram,Undirected,4,1
Petru-Dalca,Petru-Bastril,Undirected,14,1
Petru-Dalca,Rickard-Stark,Undirected,3,1
Petru-Dalca,Robert-Antonescu,Undirected,5,1
Victoria-Albu,Mircea-Iliescu,Undirected,6,1
Victoria-Albu,Martin-Dalca,Undirected,8,1
Victoria-Albu,Marillion,Undirected,4,1
Victoria-Albu,Rodrik-Cassel,Undirected,4,1
Victoria-Albu,Shae,Undirected,3,1
Victoria-Albu,Shagga,Undirected,3,1
Victoria-Albu,Traian-Lascu,Undirected,61,1
Victoria-Albu,Timon-Lascu,Undirected,4,1
Victoria-Albu,Vardis-Egen,Undirected,11,1
Victoria-Albu,Willis-Wode,Undirected,5,1
Emil-Ionesco,Mircea-Iliescu,Undirected,16,1
Emil-Ionesco,George-Tudose,Undirected,3,1
Emil-Ionesco,Hoster-Tully,Undirected,5,1
Emil-Ionesco,Stefan-Leonte,Undirected,7,1
Emil-Ionesco,Lisa-Arin,Undirected,10,1
Emil-Ionesco,Nestor-Royce,Undirected,3,1
Emil-Ionesco,Luiza-Dinu,Undirected,9,1
Emil-Ionesco,Ila-Vera,Undirected,6,1
Emil-Ionesco,Traian-Lascu,Undirected,4,1
Emil-Ionesco,Timon-Lascu,Undirected,3,1
Emil-Ionesco,Walder-Frey,Undirected,3,1
Mircea-Iliescu,Nicoleta-Albert,Undirected,12,1
Mircea-Iliescu,Vlad-Dumitru,Undirected,3,1
Mircea-Iliescu,Donnel-Waynwood,Undirected,3,1
Mircea-Iliescu,Mihai-Constantin,Undirected,64,1
Mircea-Iliescu,George-Tudose,Undirected,7,1
Mircea-Iliescu,Ileana-Sirbu,Undirected,3,1
Mircea-Iliescu,Ionut-Serban,Undirected,10,1
Mircea-Iliescu,Hoster-Tully,Undirected,6,1
Mircea-Iliescu,Stefan-Leonte,Undirected,9,1
Mircea-Iliescu,Marcian-Manole,Undirected,4,1
Mircea-Iliescu,Raluca-Tabacu,Undirected,11,1
Mircea-Iliescu,Corina-Filip,Undirected,14,1
Mircea-Iliescu,Vlad-Drugau,Undirected,4,1
Mircea-Iliescu,Ludwin-John,Undirected,14,1
Mircea-Iliescu,Lisa-Arin,Undirected,33,1
Mircea-Iliescu,Marillion,Undirected,6,1
Mircea-Iliescu,Masha-Heddle,Undirected,5,1
Mircea-Iliescu,Moreo-Tumitis,Undirected,3,1
Mircea-Iliescu,Mya-Stone,Undirected,9,1
Mircea-Iliescu,Mychel-Redfort,Undirected,3,1
Mircea-Iliescu,Nestor-Royce,Undirected,3,1
Mircea-Iliescu,Petru-Bastril,Undirected,22,1
Mircea-Iliescu,Rickard-Karstark,Undirected,6,1
Mircea-Iliescu,Mihnea-Dinu,Undirected,3,1
Mircea-Iliescu,Luiza-Dinu,Undirected,49,1
Mircea-Iliescu,Robert-Arin,Undirected,3,1
Mircea-Iliescu,Robert-Antonescu,Undirected,22,1
Mircea-Iliescu,Rodrik-Cassel,Undirected,25,1
Mircea-Iliescu,Sorina-Sicoe,Undirected,9,1
Mircea-Iliescu,Stevron-Frey,Undirected,5,1
Mircea-Iliescu,Ila-Vera,Undirected,9,1
Mircea-Iliescu,Traian-Lascu,Undirected,49,1
Mircea-Iliescu,Tytos-Blackwood,Undirected,4,1
Mircea-Iliescu,Timon-Lascu,Undirected,7,1
Mircea-Iliescu,Vardis-Egen,Undirected,5,1
Mircea-Iliescu,Viorel-Ivan,Undirected,10,1
Mircea-Iliescu,Walder-Frey,Undirected,13,1
Mircea-Iliescu,Wendel-Manderly,Undirected,3,1
Mircea-Iliescu,Willis-Wode,Undirected,5,1
Costin-Lungu,Mihai-Constantin,Undirected,7,1
Costin-Lungu,Horia-Avram,Undirected,3,1
Costin-Lungu,Tomard,Undirected,6,1
Nicoleta-Albert,Mihai-Constantin,Undirected,69,1
Nicoleta-Albert,Ilyn-Payne,Undirected,4,1
Nicoleta-Albert,Stefan-Leonte,Undirected,16,1
Nicoleta-Albert,Sergiu-Ion,Undirected,4,1
Nicoleta-Albert,Marcian-Manole,Undirected,42,1
Nicoleta-Albert,Raluca-Tabacu,Undirected,7,1
Nicoleta-Albert,Corina-Filip,Undirected,4,1
Nicoleta-Albert,Aimee-Cassel,Undirected,5,1
Nicoleta-Albert,Meryn-Trant,Undirected,4,1
Nicoleta-Albert,Teodora-Naumovici,Undirected,3,1
Nicoleta-Albert,Mariana-Ivan,Undirected,7,1
Nicoleta-Albert,Petru-Bastril,Undirected,13,1
Nicoleta-Albert,Simona-Enache,Undirected,9,1
Nicoleta-Albert,Horia-Avram,Undirected,5,1
Nicoleta-Albert,Robert-Antonescu,Undirected,72,1
Nicoleta-Albert,Sebastian-Clara,Undirected,5,1
Nicoleta-Albert,Sorina-Sicoe,Undirected,29,1
Nicoleta-Albert,Stan-Serv,Undirected,5,1
Nicoleta-Albert,Tomas-Barat,Undirected,4,1
Nicoleta-Albert,Traian-Lascu,Undirected,27,1
Nicoleta-Albert,Timon-Lascu,Undirected,10,1
Nicoleta-Albert,Viorel-Ivan,Undirected,19,1
Nicoleta-Albert,Vayon-Poole,Undirected,4,1
Mihail-Ardelean,Traian-Lascu,Undirected,5,1
Sandra-Adam,Corina-Filip,Undirected,4,1
Sandra-Adam,Samuel-Tudose,Undirected,6,1
Martin-Dalca,Traian-Lascu,Undirected,5,1
Martin-Dalca,Willis-Wode,Undirected,3,1
Sonia-Anghelescu,Karyl-Vance,Undirected,4,1
Vera-Funar,Veronica-Matei,Undirected,7,1
Vera-Funar,Rodica-Vasile,Undirected,9,1
Vera-Funar,HLiviu-Cojocaru,Undirected,7,1
Vera-Funar,Qotho,Undirected,6,1
Vlad-Dumitru,Vardis-Egen,Undirected,4,1
Artur-Lupei,Coratt,Undirected,5,1
Artur-Lupei,Shagga,Undirected,9,1
Artur-Lupei,Traian-Lascu,Undirected,6,1
Veronica-Matei,Iacob-Dumitru,Undirected,15,1
Veronica-Matei,Rodica-Vasile,Undirected,101,1
Veronica-Matei,Mihai-Constantin,Undirected,5,1
Veronica-Matei,Eroeh,Undirected,5,1
Veronica-Matei,HLiviu-Cojocaru,Undirected,12,1
Veronica-Matei,Iustin-George,Undirected,24,1
Veronica-Matei,Irri,Undirected,25,1
Veronica-Matei,Jhiqui,Undirected,26,1
Veronica-Matei,Jhogo,Undirected,17,1
Veronica-Matei,Madalina-Ionascu,Undirected,75,1
Veronica-Matei,Mariana-Mitu,Undirected,31,1
Veronica-Matei,Qotho,Undirected,18,1
Veronica-Matei,Quaro,Undirected,5,1
Veronica-Matei,Rakharo,Undirected,4,1
Veronica-Matei,Alexandru-Ene,Undirected,4,1
Veronica-Matei,Robert-Antonescu,Undirected,11,1
Veronica-Matei,Viorel-Ivan,Undirected,5,1
Veronica-Matei,Cornelia-Traian,Undirected,37,1
Ionela-Lupei,Hosteen-Frey,Undirected,3,1
Ionela-Lupei,Jared-Frey,Undirected,3,1
Ionela-Lupei,Walder-Frey,Undirected,3,1
Octavian-Lupei,Corina-Filip,Undirected,6,1
Andrei-Anghelescu,Mihai-Constantin,Undirected,3,1
Andrei-Anghelescu,Torrhen-Karstark,Undirected,3,1
Narcisa-Funar,Mihai-Constantin,Undirected,4,1
Martin-Lupu,Shagga,Undirected,7,1
Irina-Dumitru,Corina-Filip,Undirected,7,1
Iacob-Dumitru,Rodica-Vasile,Undirected,5,1
Iacob-Dumitru,Irri,Undirected,14,1
Iacob-Dumitru,Jhiqui,Undirected,11,1
Iacob-Dumitru,Madalina-Ionascu,Undirected,3,1
Iacob-Dumitru,Cornelia-Traian,Undirected,3,1
Rodica-Vasile,HLiviu-Cojocaru,Undirected,9,1
Rodica-Vasile,Iustin-George,Undirected,16,1
Rodica-Vasile,Irri,Undirected,9,1
Rodica-Vasile,Jhiqui,Undirected,5,1
Rodica-Vasile,Jhogo,Undirected,7,1
Rodica-Vasile,Jommo,Undirected,3,1
Rodica-Vasile,Madalina-Ionascu,Undirected,16,1
Rodica-Vasile,Mariana-Mitu,Undirected,12,1
Rodica-Vasile,Ogo,Undirected,11,1
Rodica-Vasile,Qotho,Undirected,13,1
Rodica-Vasile,Quaro,Undirected,3,1
Rodica-Vasile,Rakharo,Undirected,4,1
Rodica-Vasile,Rhaego,Undirected,5,1
Rodica-Vasile,Robert-Antonescu,Undirected,3,1
Rodica-Vasile,Cornelia-Traian,Undirected,19,1
Isabel-Enache,Corina-Filip,Undirected,4,1
Mihai-Constantin,George-Tudose,Undirected,3,1
Mihai-Constantin,Anton-Albert,Undirected,4,1
Mihai-Constantin,Gendry,Undirected,3,1
Mihai-Constantin,George-Simion,Undirected,3,1
Mihai-Constantin,Maria-Marcu,Undirected,10,1
Mihai-Constantin,Harwin,Undirected,5,1
Mihai-Constantin,Ionut-Stefan,Undirected,4,1
Mihai-Constantin,Howland-Reed,Undirected,3,1
Mihai-Constantin,Ilyn-Payne,Undirected,6,1
Mihai-Constantin,Jacks,Undirected,4,1
Mihai-Constantin,Stefan-Leonte,Undirected,27,1
Mihai-Constantin,Sergiu-Ion,Undirected,4,1
Mihai-Constantin,Marcian-Manole,Undirected,26,1
Mihai-Constantin,Raluca-Tabacu,Undirected,47,1
Mihai-Constantin,Corina-Filip,Undirected,38,1
Mihai-Constantin,Aimee-Cassel,Undirected,32,1
Mihai-Constantin,Joss,Undirected,5,1
Mihai-Constantin,Oxana-Georgescu,Undirected,12,1
Mihai-Constantin,Ludwin-John,Undirected,16,1
Mihai-Constantin,Liana-Avram,Undirected,19,1
Mihai-Constantin,Lisa-Arin,Undirected,12,1
Mihai-Constantin,Marq-Piper,Undirected,3,1
Mihai-Constantin,Teodora-Naumovici,Undirected,11,1
Mihai-Constantin,Mycah,Undirected,3,1
Mihai-Constantin,Petru-Bastril,Undirected,81,1
Mihai-Constantin,Porther,Undirected,4,1
Mihai-Constantin,Simona-Enache,Undirected,33,1
Mihai-Constantin,Raymun-Darry,Undirected,4,1
Mihai-Constantin,Horia-Avram,Undirected,33,1
Mihai-Constantin,Alexandru-Ene,Undirected,10,1
Mihai-Constantin,Rickard-Karstark,Undirected,4,1
Mihai-Constantin,Mihnea-Dinu,Undirected,4,1
Mihai-Constantin,Luiza-Dinu,Undirected,16,1
Mihai-Constantin,Robert-Antonescu,Undirected,291,1
Mihai-Constantin,Rodrik-Cassel,Undirected,7,1
Mihai-Constantin,Sebastian-Clara,Undirected,10,1
Mihai-Constantin,Sorina-Sicoe,Undirected,34,1
Mihai-Constantin,Stan-Serv,Undirected,18,1
Mihai-Constantin,Syrio-Forel,Undirected,6,1
Mihai-Constantin,Ila-Vera,Undirected,5,1
Mihai-Constantin,Tobho-Mott,Undirected,7,1
Mihai-Constantin,Tomard,Undirected,15,1
Mihai-Constantin,Torrhen-Karstark,Undirected,5,1
Mihai-Constantin,Tregar,Undirected,4,1
Mihai-Constantin,Traian-Lascu,Undirected,21,1
Mihai-Constantin,Timon-Lascu,Undirected,18,1
Mihai-Constantin,Varly,Undirected,4,1
Mihai-Constantin,Viorel-Ivan,Undirected,61,1
Mihai-Constantin,Vayon-Poole,Undirected,12,1
Mihai-Constantin,Wyl-(guard),Undirected,3,1
Mihai-Constantin,Wylla,Undirected,3,1
George-Tudose,Hoster-Tully,Undirected,7,1
George-Tudose,Stefan-Leonte,Undirected,4,1
George-Tudose,Karyl-Vance,Undirected,4,1
George-Tudose,Lisa-Arin,Undirected,5,1
George-Tudose,Marq-Piper,Undirected,3,1
George-Tudose,Petru-Bastril,Undirected,4,1
George-Tudose,Luiza-Dinu,Undirected,5,1
George-Tudose,Tytos-Blackwood,Undirected,3,1
Ileana-Sirbu,Lisa-Arin,Undirected,3,1
Ileana-Sirbu,Vardis-Egen,Undirected,3,1
Ispir-Marian,Ogo,Undirected,4,1
Anton-Albert,Stefan-Leonte,Undirected,3,1
Anton-Albert,Vlad-Drugau,Undirected,4,1
Anton-Albert,Rickard-Karstark,Undirected,4,1
Anton-Albert,Luiza-Dinu,Undirected,5,1
Anton-Albert,Roose-Bolton,Undirected,3,1
Mihai-Iliescu,Astrid-Dragan,Undirected,4,1
Mihai-Iliescu,Waymar-Royce,Undirected,13,1
Mihai-Iliescu,Daria-Zara,Undirected,12,1
George-Simion,Oswell-Whent,Undirected,3,1
George-Simion,Robert-Antonescu,Undirected,4,1
Maria-Marcu,Stefan-Leonte,Undirected,3,1
Maria-Marcu,Oxana-Georgescu,Undirected,10,1
Maria-Marcu,Marq-Piper,Undirected,6,1
Maria-Marcu,Petru-Bastril,Undirected,3,1
Maria-Marcu,Simona-Enache,Undirected,3,1
Maria-Marcu,Robert-Antonescu,Undirected,4,1
Maria-Marcu,Sebastian-Clara,Undirected,11,1
Maria-Marcu,Sorina-Sicoe,Undirected,5,1
Maria-Marcu,Traian-Lascu,Undirected,7,1
Maria-Marcu,Timon-Lascu,Undirected,6,1
Ilinca-Tanase,Halder,Undirected,6,1
Ilinca-Tanase,Astrid-Dragan,Undirected,3,1
Ilinca-Tanase,Corina-Filip,Undirected,31,1
Ilinca-Tanase,Pypar,Undirected,27,1
Ilinca-Tanase,Samuel-Tudose,Undirected,8,1
Ilinca-Tanase,Todder,Undirected,7,1
Gustav-Astor,Traian-Lascu,Undirected,7,1
HLiviu-Cojocaru,Mariana-Mitu,Undirected,3,1
HLiviu-Cojocaru,Qotho,Undirected,11,1
HLiviu-Cojocaru,Rakharo,Undirected,3,1
Halder,Corina-Filip,Undirected,23,1
Halder,Pypar,Undirected,8,1
Halder,Rast,Undirected,3,1
Halder,Samuel-Tudose,Undirected,6,1
Halder,Todder,Undirected,3,1
Ionut-Serban,Ludwin-John,Undirected,4,1
Ionut-Serban,Luiza-Dinu,Undirected,13,1
Ionut-Serban,Ila-Vera,Undirected,7,1
Harwin,Hullen,Undirected,3,1
Harwin,Aimee-Cassel,Undirected,4,1
Harys-Swyft,Stefan-Leonte,Undirected,3,1
Heward,Aimee-Cassel,Undirected,5,1
Heward,Wyl-(guard),Undirected,3,1
Ionut-Stefan,Marcian-Manole,Undirected,4,1
Hobb,Corina-Filip,Undirected,5,1
Iustin-Mihai,Ludwin-John,Undirected,10,1
Iustin-Mihai,Nan,Undirected,8,1
Iustin-Mihai,Luiza-Dinu,Undirected,5,1
Hosteen-Frey,Jared-Frey,Undirected,3,1
Hoster-Tully,Lisa-Arin,Undirected,3,1
Hoster-Tully,Robert-Antonescu,Undirected,3,1
Hugh,Raluca-Tabacu,Undirected,3,1
Hullen,Aimee-Cassel,Undirected,5,1
Hullen,Ludwin-John,Undirected,3,1
Hullen,Luiza-Dinu,Undirected,3,1
Hullen,Rodrik-Cassel,Undirected,3,1
Iustin-George,Irri,Undirected,3,1
Iustin-George,Madalina-Ionascu,Undirected,7,1
Iustin-George,Robert-Antonescu,Undirected,6,1
Iustin-George,Cornelia-Traian,Undirected,14,1
Ilyn-Payne,Jeyne-Poole,Undirected,3,1
Ilyn-Payne,Marcian-Manole,Undirected,4,1
Ilyn-Payne,Oxana-Georgescu,Undirected,3,1
Ilyn-Payne,Robert-Antonescu,Undirected,4,1
Ilyn-Payne,Sorina-Sicoe,Undirected,9,1
Ilyn-Payne,Viorel-Ivan,Undirected,5,1
Irri,Jhiqui,Undirected,14,1
Irri,Jhogo,Undirected,7,1
Irri,Madalina-Ionascu,Undirected,4,1
Irri,Cornelia-Traian,Undirected,5,1
Jafer-Flowers,Jaremy-Rykker,Undirected,3,1
Stefan-Leonte,Marcian-Manole,Undirected,12,1
Stefan-Leonte,Raluca-Tabacu,Undirected,5,1
Stefan-Leonte,Aimee-Cassel,Undirected,4,1
Stefan-Leonte,Andreea-Petre,Undirected,4,1
Stefan-Leonte,Oxana-Georgescu,Undirected,3,1
Stefan-Leonte,Lisa-Arin,Undirected,6,1
Stefan-Leonte,Petru-Bastril,Undirected,7,1
Stefan-Leonte,Horia-Avram,Undirected,4,1
Stefan-Leonte,Rickard-Karstark,Undirected,3,1
Stefan-Leonte,Luiza-Dinu,Undirected,9,1
Stefan-Leonte,Robert-Antonescu,Undirected,24,1
Stefan-Leonte,Rodrik-Cassel,Undirected,3,1
Stefan-Leonte,Sebastian-Clara,Undirected,12,1
Stefan-Leonte,Sorina-Sicoe,Undirected,3,1
Stefan-Leonte,Traian-Lascu,Undirected,36,1
Stefan-Leonte,Timon-Lascu,Undirected,16,1
Stefan-Leonte,Viorel-Ivan,Undirected,3,1
Stefan-Leonte,Wyl-(guard),Undirected,3,1
Sergiu-Ion,Marcian-Manole,Undirected,4,1
Sergiu-Ion,Petru-Bastril,Undirected,3,1
Sergiu-Ion,Simona-Enache,Undirected,3,1
Sergiu-Ion,Robert-Antonescu,Undirected,4,1
Sergiu-Ion,Sorina-Sicoe,Undirected,3,1
Jaremy-Rykker,Astrid-Dragan,Undirected,11,1
Jaremy-Rykker,Corina-Filip,Undirected,7,1
Astrid-Dragan,Corina-Filip,Undirected,81,1
Astrid-Dragan,Robert-Antonescu,Undirected,4,1
Astrid-Dragan,Samuel-Tudose,Undirected,8,1
Astrid-Dragan,Traian-Lascu,Undirected,23,1
Astrid-Dragan,Yoren,Undirected,3,1
Jeyne-Poole,Oxana-Georgescu,Undirected,4,1
Jeyne-Poole,Teodora-Naumovici,Undirected,7,1
Jeyne-Poole,Robert-Antonescu,Undirected,3,1
Jeyne-Poole,Sorina-Sicoe,Undirected,27,1
Jhiqui,Madalina-Ionascu,Undirected,4,1
Jhogo,Madalina-Ionascu,Undirected,5,1
Jhogo,Mariana-Mitu,Undirected,3,1
Marcian-Manole,Corina-Filip,Undirected,10,1
Marcian-Manole,Oxana-Georgescu,Undirected,3,1
Marcian-Manole,Meryn-Trant,Undirected,3,1
Marcian-Manole,Teodora-Naumovici,Undirected,9,1
Marcian-Manole,Mycah,Undirected,14,1
Marcian-Manole,Mariana-Ivan,Undirected,5,1
Marcian-Manole,Petru-Bastril,Undirected,11,1
Marcian-Manole,Simona-Enache,Undirected,4,1
Marcian-Manole,Horia-Avram,Undirected,9,1
Marcian-Manole,Luiza-Dinu,Undirected,19,1
Marcian-Manole,Robert-Antonescu,Undirected,30,1
Marcian-Manole,Rodrik-Cassel,Undirected,9,1
Marcian-Manole,Sebastian-Clara,Undirected,24,1
Marcian-Manole,Sorina-Sicoe,Undirected,87,1
Marcian-Manole,Stan-Serv,Undirected,7,1
Marcian-Manole,Tomas-Barat,Undirected,8,1
Marcian-Manole,Traian-Lascu,Undirected,13,1
Marcian-Manole,Timon-Lascu,Undirected,3,1
Marcian-Manole,Viorel-Ivan,Undirected,7,1
Jommo,Ogo,Undirected,3,1
Raluca-Tabacu,Lisa-Arin,Undirected,12,1
Raluca-Tabacu,Petru-Bastril,Undirected,4,1
Raluca-Tabacu,Simona-Enache,Undirected,11,1
Raluca-Tabacu,Robert-Antonescu,Undirected,32,1
Raluca-Tabacu,Stan-Serv,Undirected,13,1
Raluca-Tabacu,Traian-Lascu,Undirected,5,1
Raluca-Tabacu,Viorel-Ivan,Undirected,5,1
Corina-Filip,Aimee-Cassel,Undirected,3,1
Corina-Filip,Ludwin-John,Undirected,10,1
Corina-Filip,Matthar,Undirected,3,1
Corina-Filip,Teodora-Naumovici,Undirected,4,1
Corina-Filip,Othor,Undirected,5,1
Corina-Filip,Pypar,Undirected,45,1
Corina-Filip,Rast,Undirected,8,1
Corina-Filip,Mihnea-Dinu,Undirected,11,1
Corina-Filip,Luiza-Dinu,Undirected,53,1
Corina-Filip,Robert-Antonescu,Undirected,18,1
Corina-Filip,Rodrik-Cassel,Undirected,3,1
